"ult.min","ult.propose","levelk","patience","age","experience","elite"
37,40,2,17,59,30,1
40,50,1,8,53,30,1
40,40,1,8,62,38,1
49,50,0,7,57,32,1
5,40,1,8,61,34,1
50,50,0,5,67,40,1
50,50,2,20,42,15,1
40,50,0,0,56,20,1
40,20,1,5,41,17,1
30,30,1,9,45,10,1
NA,50,0,10,NA,40,1
40,40,1,17,38,17,1
35,50,1,5,61,NA,1
30,40,1,5,50,17,1
1,50,0,6,37,13,1
1,40,1,15,52,21,1
50,50,1,8,52,NA,1
1,50,1,19,48,25,1
50,50,1,20,65,25,1
20,41,1,14,62,33,1
45,47,1,6,77,20,1
50,50,1,16,63,32,1
1,50,2,20,25,2,1
50,15,0,0,49,21,1
1,10,1,20,24,2,1
35,45,1,8,35,6,1
50,50,1,3,28,8,1
1,1,NA,NA,35,11,1
35,42,NA,NA,40,7,1
1,50,0,0,41,15,1
30,30,0,20,40,10,1
10,60,1,15,47,NA,1
1,15,1,20,36,11,1
30,50,1,16,70,40,1
30,30,0,0,67,35,1
49,50,1,14,53,29,1
49,50,1,5,41,20,1
50,50,1,19,75,NA,1
10,20,2,19,40,14,1
40,40,1,14,57,30,1
40,50,1,5,55,25,1
NA,40,0,7,54,31,1
40,40,1,8,57,NA,1
40,50,1,10,60,33,1
20,50,0,7,54,28,1
30,70,1,12,65,37,1
40,50,1,13,48,10,1
50,50,2,10,34,10,1
40,50,1,10,56,20,1
5,50,1,17,52,21,1
NA,50,1,7,60,25,1
5,60,0,7,67,36,1
49,33,NA,NA,69,18,1
40,50,1,14,75,NA,1
20,30,1,5,31,2,1
10,40,2,10,27,4,1
50,50,1,8,48,21,1
35,20,0,6,63,16,1
1,15,2,17,39,9,1
50,0,0,1,38,12,1
25,60,2,1,61,35,1
35,40,2,16,58,25,1
20,50,1,5,32,9,1
NA,61,0,10,69,45,1
40,40,2,17,52,20,1
40,60,0,18,56,20,1
35,41,1,17,43,15,1
20,50,1,8,52,25,1
30,70,0,5,60,33,1
40,45,0,5,64,40,1
1,45,2,20,47,19,1
0,100,1,5,37,6,1
20,40,1,15,54,21,1
40,40,1,5,45,16,1
50,50,1,20,33,5,1
50,50,0,8,49,10,1
40,40,0,8,58,26,1
45,44,1,4,42,18,1
25,50,1,10,56,32,1
50,50,1,14,70,35,1
1,50,1,5,66,18,1
40,50,2,7,53,10,1
60,60,0,15,59,NA,1
20,25,1,15,57,32,1
40,20,NA,NA,59,33,1
50,50,2,7,66,41,1
40,50,1,5,48,20,1
50,50,2,10,69,30,1
36,44,1,7,34,5,1
40,50,1,7,46,20,1
30,40,2,11,46,20,1
50,50,1,13,54,35,1
45,50,1,5,32,6,1
40,45,1,19,66,44,1
30,50,0,3,55,22,1
5,50,2,14,52,30,1
5,5,1,18,57,20,1
30,33,NA,NA,50,20,1
1,20,NA,NA,36,9,1
1,20,1,7,36,9,1
1,20,NA,NA,36,9,1
40,49,2,5,40,10,1
20,50,0,14,20,NA,0
1,50,2,20,21,NA,0
20,45,1,9,20,NA,0
51,0,1,3,21,NA,0
50,40,0,7,21,NA,0
50,50,0,6,21,NA,0
32,32,1,13,20,NA,0
10,50,0,8,20,NA,0
NA,23,0,3,20,NA,0
1,50,1,7,26,NA,0
0,51,1,8,19,NA,0
10,50,0,10,19,NA,0
5,20,1,14,21,NA,0
25,0,0,7,22,NA,0
20,20,0,3,20,NA,0
0,30,1,3,23,NA,0
50,0,0,20,20,NA,0
20,50,1,10,24,NA,0
10,40,0,9,20,NA,0
40,50,2,5,20,NA,0
20,40,0,20,21,NA,0
25,30,0,7,21,NA,0
20,20,1,1,21,NA,0
30,45,1,0,20,NA,0
5,40,1,4,21,NA,0
50,50,1,0,24,NA,0
1,10,1,20,19,NA,0
40,45,0,5,22,NA,0
1,50,1,8,20,NA,0
50,50,2,0,28,NA,0
10,31,0,12,21,NA,0
0,50,1,14,23,NA,0
15,20,1,7,20,NA,0
1,40,1,14,21,NA,0
25,20,1,2,21,NA,0
30,80,0,3,19,NA,0
60,60,0,20,21,NA,0
35,40,1,20,20,NA,0
30,45,0,3,20,NA,0
10,20,0,5,21,NA,0
40,40,0,5,20,NA,0
20,35,2,5,20,NA,0
20,65,0,2,19,NA,0
49,51,0,7,21,NA,0
20,30,0,5,20,NA,0
NA,92,0,15,22,NA,0
20,40,0,20,19,NA,0
1,20,0,4,21,NA,0
50,49,0,0,21,NA,0
1,65,1,2,19,NA,0
25,20,0,3,19,NA,0
35,39,1,20,20,NA,0
40,50,1,0,19,NA,0
20,47,1,7,21,NA,0
25,30,1,20,20,NA,0
5,100,0,0,21,NA,0
30,50,0,9,24,NA,0
50,1,0,0,24,NA,0
10,30,0,8,20,NA,0
30,50,0,2,19,NA,0
1,10,2,20,21,NA,0
30,30,0,0,23,NA,0
35,40,1,3,20,NA,0
30,50,0,20,22,NA,0
25,40,0,5,20,NA,0
40,50,0,5,22,NA,0
15,20,1,4,20,NA,0
50,50,2,5,21,NA,0
5,30,1,5,22,NA,0
30,30,1,0,22,NA,0
1,30,2,0,20,NA,0
10,30,1,14,21,NA,0
30,40,0,5,21,NA,0
30,40,1,1,21,NA,0
10,10,1,14,20,NA,0
50,30,0,5,20,NA,0
20,50,1,0,20,NA,0
1,47,0,2,29,NA,0
35,45,0,5,21,NA,0
20,50,1,3,19,NA,0
30,30,0,5,21,NA,0
15,40,1,20,20,NA,0
10,50,0,5,30,NA,0
20,50,1,3,20,NA,0
30,45,1,0,22,NA,0
50,50,0,10,20,NA,0
50,50,0,0,23,NA,0
20,50,1,0,21,NA,0
20,35,1,6,19,NA,0
50,50,0,0,46,NA,0
40,50,0,4,21,NA,0
5,25,0,5,20,NA,0
20,50,0,0,19,NA,0
10,0,0,20,20,NA,0
30,40,2,5,23,NA,0
50,20,1,5,22,NA,0
10,40,0,10,21,NA,0
45,73,0,7,19,NA,0
35,65,0,6,22,NA,0
40,50,0,15,20,NA,0
1,10,1,5,20,NA,0
1,10,2,8,21,NA,0
30,50,1,8,22,NA,0
20,10,1,20,20,NA,0
30,30,0,3,24,NA,0
10,50,0,5,20,NA,0
10,30,1,2,21,NA,0
50,55,0,0,20,NA,0
20,30,1,7,19,NA,0
50,50,1,5,19,NA,0
15,44,1,2,21,NA,0
20,50,0,20,21,NA,0
20,50,1,6,19,NA,0
50,31,0,11,22,NA,0
20,30,0,6,20,NA,0
10,50,1,14,19,NA,0
50,20,0,3,20,NA,0
40,50,1,7,23,NA,0
1,0,0,2,21,NA,0
30,30,0,0,22,NA,0
1,30,1,20,22,NA,0
20,47,0,20,21,NA,0
20,50,1,4,21,NA,0
40,30,1,6,21,NA,0
35,40,1,6,21,NA,0
20,30,1,5,22,NA,0
30,40,1,4,20,NA,0
1,50,2,1,24,NA,0
25,25,0,5,22,NA,0
49,50,1,3,20,NA,0
20,20,0,5,21,NA,0
35,40,1,7,20,NA,0
